"Position","Drug Name","Reference Type","Primary Reference","Secondary Reference","Drug Detail Link","Primary Reference Link","Secondary Reference Link"
11,"anmancal","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=anmancal&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
12,"aran","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aran&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
13,"aranmaki","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aranmaki&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
14,"aranmakicceti","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aranmakicceti&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
15,"arasina","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arasina&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
16,"aricanam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aricanam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
17,"aricanattuvayam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aricanattuvayam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
18,"aricatti","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aricatti&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
19,"aricaṉam","Other","Siddha Pharmacop. India, Vol. 1 (2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arica%E1%B9%89am&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8874&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
20,"arici","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arici&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
21,"arishina","Other","Ayurvedic Pharm. of India (1999-2011)","Indian Med. Pl. Database (TDU, 2020)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arishina&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
22,"arishna","Other","Demand & Supply of Med. Pl. in India (Ved et al., 2008)","Indian Med. Pl. Database (TDU, 2020)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arishna&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8547&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
23,"arisina","Other","Indian Med. Pl. Database (TDU, 2020)","Veg. Drugs in Basavarajeeyam (Suryanarayana Raju, 2001)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arisina&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100353&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
24,"arisinada kombu","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arisinada+kombu&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
25,"aritaram","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aritaram&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
26,"arittira","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arittira&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
27,"arittiramancal","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arittiramancal&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
28,"arittirapam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arittirapam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
29,"arqussofar","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=arqussofar&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
30,"asabi-e-safr","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=asabi-e-safr&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
31,"atavapitan","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=atavapitan&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
32,"ath-kaha","Other","Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)","Ethnophytomed. Against Diabetes, SE Asia (Marwat et al., 2014)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=ath-kaha&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100221&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100366&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
33,"aurukesafur","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aurukesafur&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
34,"auruqussabba-ghin","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=auruqussabba-ghin&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
35,"auruqussufr","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=auruqussufr&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
36,"avea","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=avea&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
37,"azafran","Other","Med. Pl. for Diabetes in C America (Giovannini et al., 2016)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=azafran&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100187&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
38,"azafrán de la india","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=azafr%C3%A1n+de+la+india&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
39,"açafroeira","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=a%C3%A7afroeira&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
40,"açafrão","Other","Pl. for Malaria, Pl. for Fever (Milliken, 2021)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=a%C3%A7afr%C3%A3o&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100242&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
41,"açafrão-da-terra","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=a%C3%A7afr%C3%A3o-da-terra&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
42,"açafrão-da-índia","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=a%C3%A7afr%C3%A3o-da-%C3%ADndia&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
43,"bahula","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=bahula&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
44,"bengal pubna turmeric","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=bengal+pubna+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
45,"bengal up-country turmeric","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=bengal+up-country+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
46,"besar","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=besar&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
47,"besvar","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=besvar&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
48,"bhadra","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=bhadra&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
49,"bola di mputu","Other","Useful Pl. of Kongo C Province, Vol. 1-2 (Latham & ku Mbuta, 2017)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=bola+di+mputu&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100248&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
50,"cago rerega","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=cago+rerega&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
51,"cankocam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=cankocam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
52,"caruvari","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=caruvari&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
53,"chang","Other","Ethnobot. of Pangkhua Community in Bangladesh (Faruque, 2019)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=chang&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100233&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
54,"chiang-huang","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=chiang-huang&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
55,"cochin bulb turmeric","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=cochin+bulb+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
56,"cochin finger turmeric","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=cochin+finger+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
57,"common tumeric","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=common+tumeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
58,"common turmeric","Other","Herbs of Commerce (McGuffin et al., 2000)","Med. Pl. in China (WHO, 1997)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=common+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6369&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8354&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
59,"conitam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=conitam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
60,"curcum","Other","Handbook of Arabian Med. Pl. (Ghazanfar, 1994)","U.S. FDA Substance Registration System (2016)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcum&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100215&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100023&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
61,"curcuma","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)","Med. Pl. Braz. Pharm. (Brandão et al., 2006)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcuma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8418&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
62,"curcuma long","Other","Pl. Méd. de la Pharmacop.: Liste A (2000)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcuma+long&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100028&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
63,"curcuma longa rhizome","Other","Korean Pharmacop., 9th edn. (2007)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcuma+longa+rhizome&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8869&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
64,"curcuma root","Other","Korean Pharmacop., 10th edn. (MFDS, 2012)","Korean Pharmacop., 9th edn. (2007)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcuma+root&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=9876&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8869&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
65,"curcumae domesticae rhizoma","Pharmaceutical","Farmakope Herbal Indonesia, 1st edn. (DKRI, 2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+domesticae+rhizoma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=3690&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
66,"curcumae longae radix","Pharmaceutical","Korean Pharmacop., 9th edn. (2007)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+longae+radix&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8869&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
67,"curcumae longae rhizoma","Pharmaceutical","E-Kommission: Approved Status (1984-1994)","EMA Com. Monog.: Curcuma longa, rhiz. (2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+longae+rhizoma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100174&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100077&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
68,"curcumae longae rhizome","Pharmaceutical","Korean Herbal Pharmacop. (2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+longae+rhizome&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8389&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
69,"curcumae longae tinctura","Pharmaceutical","Farmacopeia Brasileira, 6th edn. (Anvisa, 2019)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+longae+tinctura&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=3466&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
70,"curcumae radix","Pharmaceutical","Hong Kong Chinese Materia Med. Standards (2014)","Korean Pharmacop., 10th edn. (MFDS, 2012)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+radix&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8885&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=9876&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
71,"curcumae rhizoma","Pharmaceutical","Japanese Pharmacop., 15th edn. (2006)","Japanese Pharmacop., 16th edn. (2012)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+rhizoma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8382&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8870&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
72,"curcumae rhizoma purveratum","Pharmaceutical","Japanese Pharmacop., 16th edn. (2012)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumae+rhizoma+purveratum&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8870&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
73,"curcumawurzelstock","Other","E-Kommission: Approved Status (1984-1994)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumawurzelstock&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100174&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
74,"curcumin","Other","Med. Pl. for Women Diseases, Sawat, Pakistan (Sarwat et al. 2012)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcumin&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100295&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
75,"curcuminoids","Other","U.S. Pharmacop. USP 32 (2008)","U.S. Pharmacop. USP 37 (2013)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curcuminoids&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8379&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8876&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
76,"curry","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=curry&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
77,"cuvarnavarnan","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=cuvarnavarnan&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
